address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,dish_liked,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"277, 15th Cross, 21 Main, Outer Ring Road, JP Nagar 5th Phase, JP Nagar, Bangalore",Vaathsalya Millet Cafe,Yes,Yes,4.1,294,JP Nagar,Casual Dining,Healthy Food,"Khichda, Thali, Jowar Roti, Cucumber Juice, Brownie, Palak Soup, Buttermilk",500,"['Millet Pulao', 'Millet Puliogre', 'Rajmudi Curd Rice', 'Pan Fried Vegetable Cutlet', 'Millet Paddu', 'Millet Curd Rice', 'Millet Pulao', 'Millet Puliogre', 'Millet Lemon Rice', 'Rajmudi Curd Rice', 'Rajmudi Rice with Curry', 'Pan Fried Vegetable Cutlet', 'Millet Bhajji', 'Millet Bonda', 'Millet Paddu', 'Millet Paysam']",Delivery,BTM
"Hermain Complex, 16th Main, Stage 2, BTM, Bangalore",Hungry Lee,No,No,4.1,358,BTM,Quick Bites,Chinese,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings",500,,Delivery,BTM
"360, 1st Main Road, Koramangala 7th Block, Bangalore",The Kream Story,Yes,No,4.1,37,Koramangala 7th Block,"Dessert Parlor, Quick Bites",Desserts,"Waffles, Nutella Ice Cream, French Fries",500,"['Mr Ferrero Chocolate Milkshake', 'White Chocolate Ice Cream', 'White Fantasy Waffle', 'Spicy Mexican Fries', 'Peri Peri Fries', 'Cheesy Makhni', 'Tandoori Tadka', 'Sweet Chilly Jalapeno', 'Spicy Mexican Fries', '1000 Island', 'Triple Cheese', 'Simply Salted', 'Peri Peri Fries', 'Spicy Chipotle', 'Cheese Jalapeno', 'Tandoori Chilli', 'Cheese Overload', 'Indian Twist', 'Banoffee Waffle', 'Triple Chocolate Waffle', 'White Fantasy Waffle', 'Butterscotch Bomb Waffle', 'Red Riding Hood Waffle', 'Call Me Red Waffle', 'The Valentine Waffle', 'Peanut Butter Rush Waffle', 'The Dark Side Waffle', 'Kit Kat Krunch Waffle', 'Blueberry Cream Pop Waffle', 'Strawberry Cream Pop Waffle', 'Oreo Overload Waffle', 'Heavenly Bite Waffle', 'Classic Maple Pop Waffle', 'Desi Tadka Waffle', 'Pizza Meets Waffle', 'Sinful Nutella Waffle', 'Banana Tella Waffle', 'Spunky Monkey Waffle', 'Mango Cheese Cake Waffle', 'High on Chocolate Waffle', 'Creamy Vanilla Waffle', 'Nutella N Chill Chocolate Milkshake', 'Snicker Rush Chocolate Milkshake', 'Cherry Mania Chocolate Milkshake', 'Dunking Oreo Chocolate Milkshake', 'Dairy Milk Silk Chocolate Milkshake', 'Kit Kat Crunch Chocolate Milkshake', 'Belgian Chocolate Milkshake', 'Chocolate Blush Milkshake', 'Mr Ferrero Chocolate Milkshake', 'Bounty Hunter Chocolate Milkshake', 'Raspberry Therapy Fruity Milkshake', 'Summer of 69 Fruity Milkshake', 'Cherrilicious Fruity Milkshake', 'Berrilicious Fruity Milkshake', 'Berry Berry Banana Fruity Milkshake', 'Green Monster Favourites Milkshake', 'Wake Up Call Favourites Milkshake', 'Bubble Trouble Favourites Milkshake', 'Salty K Favourites Milkshake', 'BAE Berry Favourites Milkshake', 'Rosy Lips Classic Milkshake', 'Banana Caramel Classic Milkshake', 'Banana Gulkand Classic Milkshake', 'Mint Magic Classic Milkshake', 'Nutella Trap Chocolate Ice Cream', 'Ferrero on the Top Chocolate Ice Cream', 'Oreo Cheese Cake Chocolate Ice Cream', 'Kit Kat Break Chocolate Ice Cream', 'Bounty Chocolate Ice Cream', 'Snickers Chocolate Ice Cream', 'Loacker Chocolate Ice Cream', 'Choco Orange Chocolate Ice Cream', 'White Chocolate Ice Cream', 'Belgian Chocolate Ice Cream', 'Alphonso Mango Ice Cream', 'All New Eclair Ice Cream', 'Cool Mint Ice Cream', 'Blue Coffee Ice Cream', 'World Class Biscuit Ice Cream', 'Bubblegum Ice Cream', 'Whiskey Cream Ice Cream', 'Tiramisu Ice Cream', 'Banana Caramel Ice Cream', 'Crunchy Mint Ice Cream']",Delivery,BTM
"88, Industrial Layout, Beside Jyothi Nivas Girls College Main Gate, Koramangala 5th Block, Bangalore",Royal Treat,No,No,4.1,435,Koramangala 5th Block,Casual Dining,North Indian,"Dragon Chicken, Butter Chicken, Rolls, Mutton Biryani, Raita, Panneer Butter Masala, Tandoori Chicken",500,,Delivery,BTM
"294, 4th Floor, 7th Main, 7th Cross, Mico Employees Griha Nirmana Sangha Layout, 2nd Stage, BTM, Bangalore",Ruh's Cafe,Yes,No,4.1,464,BTM,Cafe,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",500,"['Veg Agilo E Olio Dry Pasta', 'Chicken Pasta in Alfredo Sauce Pasta', 'Chicken Creamy Pesto Sauce Pasta', 'Chicken Bolognese Pasta', 'Chicken Syrian Cutlets', 'Scrambled Egg with Cream and Milk', 'Sunny Side Up', 'Masala Omelette', ""Ruh's Verde"", 'Cheese Pickly Omelette', 'Red Chilli Omelette', 'Mushroom and Cheese Omelette', 'Spanish Omelette', 'A Compleate Meaty Affair', 'Shredded Pepper Chicken Omelette', 'Spinach and Cottage Cheese', 'Mushroom and Zuccini and Onion', 'Mushroom and Meatballs', ""Chicken Sausages and Mix Pepper's"", 'Veggie Sizzler', 'Cottage Cheese Sizzler', 'Stuffed Cottage Cheese Sizzler', 'Grilled Chicken Sizzler', 'Indonesian Chicken Sizzler', 'Grilled Fish Sizzler', 'London Mix Grill', 'Veg Cream of Mushroom Soup', 'Veg Cheesy Potato Soup', 'Basil Tomato Soup', 'Ginger Tomato Soup', 'Mint Tomato Soup', 'Bell Pepper Tomato Soup', 'Veg French Onion Soup', 'Broccoli and Cheese Soup', 'Veg Leek Soup', 'Chicken Cream of Mushroom Soup', 'Chicken Cheesy Potato Soup', 'Chicken Leek Soup', 'Chicken French Onion Soup', 'Chicken Brocooli and Cheese Soup', 'Veg Caesar Salad', 'Garden Fresh Salad', 'Veg Warm Tossed Salad', 'Veg Mexican Bowl Salad', 'Chicken Mexican Bowl Salad', 'Chicken Caesar Salad', 'Lets Go Crispy Salad', 'Chicken Warm Tossed Salad', 'Veg Clear Soup', 'Veg Lemon Peppery Soup', 'Veg Tibetian Thupka', 'Chicken Clear Soup', 'Chicken Lemon Peppery Soup', 'Chicken Tibetian Thupka', 'Potato Wedges', 'Onion Rings', 'Veg Fingers', 'Baby Corn Sticks', 'Cheesy Stuffed Mushroom', 'Mexican Cheese Balls', 'Veg Syrian Cutlets', 'Chicken Fingers', 'Bbq Chicken Strips', 'Chicken Syrian Cutlets', 'Fish Finger', 'Crumb Fried Prawn', 'Honey Chilli Potato', 'Chilli Basil Mushroom', 'Veg Teriyaki', 'Veg Brunt Pepper Veggies', 'Veg Garlic Pepper', 'Veg Sweet and Spicy', 'Veg Schezwan', 'Chicken Honey Chilly Potato', 'Chicken Brunt Pepper Veggies', 'Chicken Garlic Pepper', 'Shanghai Chicken', 'Chicken Schezwan', 'Prawn Schezwan', 'Fish Schezwan', 'Chicken Teriyaki', 'Chilly Garlic Prawn', 'Chilly Garlic Fish', 'Veg Casserole', 'Paprika Veggies', 'Italian Grilled Veggies', 'Veg Stroganoff', 'Chicken Casserole', 'Paprika Chicken', 'Tandoori Chicken Steak', 'Chicken Stroganoff', 'Basil Pesto Chicken', 'Italian Stuffed Chicken', 'Chicken Parmigiana', 'Chicken Roulade', 'Grilled Fish in Lemon Butter Sauce', 'Cajun Spiced Grilled Fish', 'Grilled Cottage Cheese Steak', 'Veg Hot Garlic Gravy', 'Veg Ginger Gravy', 'Veg Hong Kong Dragon Gravy', 'Chicken Hot and Sour Gravy', 'Chicken Black Chilly Gravy', 'Chicken Hong Kong Dragon Gravy', 'Chicken Ginger Gravy', 'Chicken Hot Garlic Gravy', 'Steamed Fried Rice', 'Veg Schezwan Fried Rice', 'Veg Singapore Fried Rice', 'Veg Chilly Garlic Fried Rice', 'Veg Shanghai Fried Rice', 'Veg Fried Rice', 'Chicken Prawn Fried Rice', 'Chicken Chilly Garlic Fried Rice', 'Chicken Singapore Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Hong Kong Fried Rice', 'Chicken Shanghai Fried Rice', 'Prawn Fried Rice', 'Prawn Chilly Garlic Fried Rice', 'Prawn Schezwan Fried Rice', 'Prawn Shanghai Fried Rice', 'Prawn Singapore Fried Rice', 'Fried Noodles', 'Veg Noodles', 'Veg Shanghai Noodles', 'Veg Schezwan Noodles', 'Veg Singapore Noodles', 'Veg Singapore Noodles', 'Veg Chilly Garlic Noodles', 'Chicken Noodles', 'Chicken Chilly Garlic Noodles', 'Chicken Schezwan Noodles', 'Chicken Singapore Noodles', 'Chicken Singapore Noodles', 'Chicken Shanghai Noodles', 'Prawn Noodles', 'Prawn Chilly Garlic Noodles', 'Prawn Schezwan Noodles', 'Prawn Shanghai Noodles', 'Prawn Singapore Noodles', 'Prawn Singapore Noodles', 'Veg American Chopsuey', 'Veg Chinese Chopsuey', 'Veg Dragon Chopsuey', 'Chicken American Chopsuey', 'Chicken Chinese Chopsuey', 'Chicken Dragon Chopsuey', 'Prawn Chinese Chopsuey', 'Prawn Dragon Chopsuey', 'Prawn American Chopsuey', 'Margherita Pizza', 'Mushroom and Sun Dried Tomato Pizza', 'Desi Indian Veg Pizza', 'Exotic Veg Pizza', 'Veg Mexicano Pizza', 'Spinach and Cottage Cheese Pizza', 'Veg Pesto Pizza', 'Veg BBQ Pizza', 'Ruhs Paneer Tandoori Pizza', 'Veg Medditerrianian Pizza', 'Loaded Egg Licious Pizza', 'Chicken Mexicano Pizza', 'Chicken BBQ Pizza', 'Spicy Chicken Sausage Pizza', 'Ruhs Chicken Tandoori Pizza', 'Carnivora Pizza', 'Chicken Medditerrianian Pizza', 'Seafood Pizza', 'Prawns BBQ Pizza', 'Veg Pasta in Alfredo Sauce', 'Veg Agilo E Olio Dry Pasta', 'Veg Creamy Pesto Sauce Pasta', 'Veg Arrabbiata Pasta', 'Veg Primavera Pasta', 'Veg Red Pepper Sauce Pasta', 'Veg Lasagne', 'Chicken Pasta in Alfredo Sauce Pasta', 'Chicken Agilo E Olio Dry Pasta', 'Chicken Creamy Pesto Sauce Pasta', 'Chicken Arrabbiata Pasta', 'Chicken Primavera Pasta', 'Chicken Bolognese Pasta', 'Chicken Lasagne', 'Seafood Pasta', 'Mushroom Creamy Risotto', 'Veg Pink Sauce Risotto', 'Veg Creamy Spinach Risotto', 'Veg Pesto Cream Sauce Risotto', 'Chicken Creamy Risotto', 'Chicken Pink Sauce Risotto', 'Chicken Creamy Spinach Risotto', 'Chicken Pesto Cream Sauce Risotto', 'Veg Lasagne', 'Lasagne Chicken', 'Mashroom and Cheese Sandwiches', 'Cheesy Sun Dried Tomato Pesto Grilled Sandwiches', 'Veg Supremo Sandwiches', 'Paneer Chilli Cheese Sandwich', 'Cheesy Sun Dried Tomato, Pesto Grilled Sandwich', 'Cheesy Mixed Veg Pepper Sandwich', 'Paneer BBQ Sandwich', 'Masala Egg Sandwiches', 'Spicy Chicken Sandwich', 'Chicken Supremo Sandwich', 'Chicken Chilli Cheese Sandwich', 'Cheesy Mixed Chicken Pepper Sandwich', 'Chicken BBQ Sandwich', 'Veggie Burger', 'Cottage Cheese Burger', 'Veg Classic Cheesy Americano Burger (double Patty)', 'Chicken Burger', 'Desi Tandoori Chicken Burger', 'BBQ Chicken Burger', 'Teriyaki Chicken Burger', 'Loaded Burger Chicken', 'Crispy Fillet O Fish Burger', 'Classic Chicken Cheesy Americano Burger', 'Classic Garlic Bread', 'Pesto Cheese Garlic Bread', 'Sweet French Toast', 'Chilli French Toast', 'Chilli Cheese Garlic Bread', 'Pesto Cheese Garlic Bread']",Dine-out,BTM
"Hermain Complex, 16th Main, Stage 2, BTM, Bangalore",Hungry Lee,No,No,4.1,358,BTM,Quick Bites,Chinese,"Noodles, Nasi Goreng, Rolls, Kiwi Mojito, Brownie, Tom Yum Soup, Dumplings",500,,Dine-out,BTM
"88, Industrial Layout, Beside Jyothi Nivas Girls College Main Gate, Koramangala 5th Block, Bangalore",Royal Treat,No,No,4.1,435,Koramangala 5th Block,Casual Dining,North Indian,"Dragon Chicken, Butter Chicken, Rolls, Mutton Biryani, Raita, Panneer Butter Masala, Tandoori Chicken",500,,Dine-out,BTM
"Shop 9, Building 1, Adishwara Complex, Skyline Apartment, Canara Bank, Frazer Town, Bangalore",Faasos,No,No,4.1,38,Frazer Town,Quick Bites,North Indian,"Rolls, Veggie Wrap, Chicken Wrap, Kheer",500,,Dine-out,Frazer Town
"5, Narayana Pillai Street, Off Commercial Street, Commercial Street, Bangalore",RS Shiv Sagar,No,No,4.1,530,Commercial Street,Casual Dining,Chinese,"Brownie, Paneer Manchurian, Chocolate Sizzler, Nachos, Filter Coffee, Panneer Butter Masala, Pizza",500,,Dine-out,Frazer Town
"1024, 1st Block, Koramangala Bangalore",The Wok Shop,Yes,No,4.1,270,Koramangala 1st Block,Quick Bites,Asian,"Momos, Rice Noodles, Kung Pao Chicken, Noodle, Rice Bowl, Thai Green Curry, Chicken Dim Sum",500,,Delivery,HSR
"Shop 1, 1st Floor, BTM Complex, 9th Main Road, Layout 1st Stage, BTM, Bangalore",Basmati Delights,Yes,No,4,869,BTM,Delivery,Biryani,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani",500,"['Chicken Lollipop', 'Paneer Biryani', 'Veg Biryani', 'Boneless Birinz Special Butter Chicken Biryani', 'Boneless Chicken Biryani', 'Chicken Biryani', 'Chicken Fried Piece Biryani', 'Gongura Mutton Biryani', 'Mutton Biryani', ""Boneless Reddy's Red Hot Chicken Biryani"", 'Baby Corn Chilli', 'Chilli Mushroom', 'Chilli Paneer', 'Paneer 65', 'Paneer Sholay', 'Salt n Pepper Mushroom', 'Spicy Asian Baby corn', 'Chicken 555', 'Chicken 65', 'Chicken Curry Leaf Dry', 'Chicken Kebab (Fried)', 'Chicken Lollipop', 'Chicken Rayalaseema', 'Chicken Sholay', 'Chilli Chicken', 'Guntur Chicken', 'Maharaja Chicken', 'Amritsari Fried Fish', 'Apollo Fish', 'Butter Garlic Prawns', 'Chilli Fish', 'Chilli Prawns', 'Prawns Curry Leaf', 'Prawns Fry', 'Mutton Ghee Roast', 'Mutton Pepper Fry', 'Assorted Kebabs', 'Chicken Afghani Kebab [5 Pcs]', 'Chicken Angara Kebab [5 pcs]', 'Chicken Shahi Kebab [5 Pcs]', 'Kalmi Kebab', 'Tandoori Chicken', 'Paneer Tikka [5 Pcs]', 'Tandoori Mushroom [5 Pcs]', 'Veg Biryani [Personal]', 'Paneer Biryani [Personal]', 'Mushroom Biryani [Personal]', 'Veg Biryani [Regular]', 'Paneer Biryani [Regular]', 'Mushroom Biryani [Regular]', 'Veg Biryani [Family Pack]', 'Chicken Biryani [Personal]', 'Boneless Chicken Biryani [Personal]', ""Reddy's Red Hot Chicken Biryani [Boneless] [Spicy] [Personal]"", 'Butter Chicken Biryani [Boneless] [Personal]', 'Birinz Special Chicken Biryani [Boneless] [Personal]', 'Chicken Fry Piece Biryani (Spicy) [Personal]', 'Gongura Chicken Biryani [Personal]', 'Ulavacharu Chicken Biryani [Personal]', 'Mutton Fry Piece Biryani [Spicy] [Personal]', 'Gongura Mutton Biryani [Personal]', 'Mutton Mughlai Biryani [Personal]', 'Fish Biryani [Personal]', 'Prawns Biryani [Personal]', 'Egg Biryani [Personal]', 'Biryani Rice [Personal]', 'Chicken Biryani [Regular]', 'Boneless Chicken Biryani [Regular]', ""Reddy's Red Hot Chicken Biryani [Boneless] [Spicy] [Regular]"", 'Butter Chicken Biryani [Boneless] [Regular]', 'Birinz Special Chicken Biryani [Boneless] [Regular]', 'Chicken Fry Piece Biryani [Spicy] [Regular]', 'Gongura Chicken Biryani [Regular]', 'Ulavacharu Chicken Biryani [Regular]', 'Mutton Biryani [Regular]', 'Mutton Fry Piece Biryani (Spicy) [Regular]', 'Gongura Mutton Biryani [Regular]', 'Mutton Mughlai Biryani [Regular]', 'Fish Biryani [Regular]', 'Prawns Biryani [Regular]', 'Egg Biryani [Regular]', 'Chicken Biryani [Family Pack]', 'Boneless Chicken Biryani [Family Pack]', 'Mutton Biryani [Family Pack]', 'Jeera Rice', 'Ghee Rice', 'Gun Powder Rice', 'Gongura Rice', 'Veg Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Fish Kohlapuri', 'Fish Masala', 'Kadai Prawns', 'Prawns Kohlapuri', 'Gongura Mutton Gravy', 'Mutton Masala', 'Mutton Rogan Josh', 'Kadai Mixed Veg', 'Kadai Paneer', 'Kaju Masala', 'Kaju Paneer', 'Mushroom Masala', 'Palak Paneer', 'Paneer Butter Masala', 'Paneer Tikka Masala', 'Veg Hyderabadi', 'Veg Keema', 'Veg Kolhapuri', 'Butter Chicken [Boneless]', 'Chicken Chettinadu Masala', 'Chicken Hyderabadi', 'Chicken Kolhapuri', 'Chicken Tikka Masala [Boneless]', 'Diwani Murgh Handi', 'Kadai Chicken', 'Malai Methi Murgh', 'Murgh Do Pyaza', 'Murgh Saagwala', 'Nellore Chicken Masala', 'Butter Kulcha', 'Butter Naan', 'Butter Roti', 'Garlic Naan', 'Kulcha', 'Naan', 'Roti', 'Ghee Rice', 'Gongura Rice', 'Gun Powder Rice', 'Jeera Rice', 'Mushroom Biryani', 'Paneer Biryani', 'Veg Biryani', 'Boneless Birinz Special Butter Chicken Biryani', 'Biryani Rice', 'Boneless Chicken Biryani', 'Boneless Butter Chicken Biryani', 'Chicken Biryani', 'Chicken Fried Piece Biryani', 'Egg Biryani', 'Gongura Chicken Biryani', 'Gongura Mutton Biryani', 'Mutton Biryani', 'Mutton Fried Piece Biryani', 'Mutton Mughlai Biryani', 'Prawns Biryani', ""Boneless Reddy's Red Hot Chicken Biryani"", 'Veg Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Egg Chilly']",Delivery,Bannerghatta Road
"Shop 1, Ground Floor, 37th B cross, 9th Block, Ward No 58, Jayanagar, Bangalore",Wat-a-Burger!,Yes,No,4,108,Jayanagar,Quick Bites,Burger,"Burgers, Tea, Ferrero Rocher, Sandwich, French Fries",500,,Delivery,Basavanagudi
"89, Kannan Building, MG Road, Bangalore",Lakeview Milkbar,No,No,4,1443,MG Road,"Dessert Parlor, Cafe",Desserts,"Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers",500,,Delivery,Brigade Road
"45/3, Ground Floor, Near Mayo Hall, Residency Cross 1, Residency Road, Bangalore",Stir Fry,No,No,4,209,Residency Road,Casual Dining,Chinese,"Spring Roll, Chicken Lollipop, Chaap, Momos, Lamb, Chicken Manchow Soup, Hakka Noodles",500,,Delivery,Brigade Road
"45/3, Ground Floor, Near Mayo Hall, Residency Cross 1, Residency Road, Bangalore",Stir Fry,No,No,4,209,Residency Road,Casual Dining,Chinese,"Spring Roll, Chicken Lollipop, Chaap, Momos, Lamb, Chicken Manchow Soup, Hakka Noodles",500,,Dine-out,Brigade Road
"89, Kannan Building, MG Road, Bangalore",Lakeview Milkbar,No,No,4,1443,MG Road,"Dessert Parlor, Cafe",Desserts,"Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers",500,,Dine-out,Brigade Road
"289, Opposite Whitefield Bus Stop, Near Jamia Masjid, Whitefield, Bangalore",Sri Lakshmi Vaibhav,Yes,No,4,156,Whitefield,Casual Dining,South Indian,,500,"['Tomato Soup', 'Sweet Corn Soup', 'Mushroom Soup', 'Sweet Corn Veg Soup', 'Hot and Sour Soup', 'Manchow Soup', 'Veg Clear Soup', 'Veg Schezwan Soup', 'Mushroom Veg Clear Soup', 'Green Peas Soup', 'Veg Noodle Soup', 'Veg Royal Soup', 'Green Salad', 'Tomato Salad', 'Onion Salad', 'Cucumber Salad', 'Aloo Fry', 'Aloo Jeera', 'Aloo Gobi', 'Green Peas', 'Peas Gobi', 'Veg Cashew Nut', 'Paneer Bhurji', 'Gobi Pepper', 'Baby Corn Pepper', 'Paneer Pepper', 'Mushroom Pepper', 'Mushroom Sukka', 'Mushroom Kabab', 'Paneer Lollipop', 'Baby Corn Lollipop', 'Gobi Manchurian', 'Veg Ball Manchurian', 'Mushroom Manchurian', 'Baby Corn Manchurian', 'Spanish Manchurian', 'Paneer Manchurian', 'Veg Ball Chilli', 'Mushroom Chilli', 'Gobi Chilli', 'Gobi 65', 'Spanish Chilli', 'Paneer Chilli', 'Baby Corn Chilli', 'Dal Fry', 'Dal Tadka', 'Dal Palak', 'Dal Punjabi', 'Dal Kolhapuri', 'Aloo Gobi Masala', 'Gobi Masala', 'Chana Masala', 'Matar Masala', 'Aloo Matar', 'Aloo Tikka Masala', 'Aloo Chana', 'Sweet Dum Aloo Kashmiri', 'Peas Gobi Masala', 'Palak Gobi', 'Plain Palak', 'Palak Paneer', 'Corn Palak', 'Peas Palak', 'Aloo Palak', 'Singapore Kofta', 'Veg Malai Kofta', 'Veg Kofta', 'Veg Korma', 'Veg Keema', 'Veg Patiala', 'Nargis Kofta', 'Kashmir Kofta', 'Paneer Kofta', 'Veg Do Pyaza', 'Veg Butter Masala', 'Veg Pepper Masala', 'Veg Hyderabadi', 'Veg Shahi Korma', 'Malai Matar', 'Sweet Navratan Korma', 'Paneer Korma', 'Paneer Keema', 'Paneer Butter Masala', 'Chana Paneer', 'Paneer Gucchi', 'Shahi Paneer', 'Paneer Shahi Korma', 'Paneer Tikka Masala', 'Paneer Lollipop Masala', 'Paneer Masala', 'Paneer Chilli Hyderabadi', 'Paneer Ghee Roast', 'Mushroom Matar', 'Mushroom Masala', 'Mushroom Butter Masala', 'Mushroom Tikka Masala', 'Kaju Matar', 'Kaju Masala', 'Kaju Paneer', 'Sri Lakshmi Vaibhav Special Curry', 'Sweet Kashmiri Gobi', 'Baby Corn Green Masala', 'Baby Corn Mushroom Masala', 'Baby Corn Lollipop Masala', 'Malai Methi Matar', 'Kadai Paneer', 'Kadai Mushroom', 'Kadai Mixed Veg', 'Kadai Gobi Matar', 'Tawa Masala Veg', 'Mushroom Tawa Masala', 'Paneer Tawa Masala', 'Paneer Butter Masala', 'Kadai Paneer', 'Paneer Keema', 'Matar Masala', 'Methi Malai Matar', 'Palak Paneer', 'Shahi Malai Matar', 'Malai Matar', 'Kaju Paneer', 'Kaju Matar', 'Roti', 'Naan', 'Parotta', 'Kulcha', 'Masala Kulcha', 'Butter Naan', 'Butter Kulcha', 'Stuffed Parotta', 'Stuffed Kulcha', 'Kashmiri Naan', 'Aloo Parotta', 'Gobi Parotta', 'Butter Roti', 'Pudina Roti', 'Methi Parotta', 'Garlic Naan', 'Methi Roti', 'Jeera Rice', 'Ghee Rice', 'Veg Pulao', 'Peas Pulao', 'Veg Biryani', 'Peas Biryani', 'Mughlai Biryani', 'Kashmi Pulao', 'Navratan Pulao', 'Handi Biryani', 'Corn Pulao', 'Dum Handi Biryani', 'Mushroom Biryani', 'Dal Khichdi', 'Palak Biryani', 'Sri Lakshmi Vaibhav Special Biryani', 'Veg Fried Rice', 'Veg Ginger Fried Rice', 'Veg Manchow Fried Rice', 'Peking Fried Rice', 'Mushroom Fried Rice', 'Veg Schezwan Fried Rice', 'Singapore Fried Rice', 'Paneer Fried Rice', 'Veg Noodles', 'Veg Schezwan Noodles', 'Peking Noodles', 'Veg Hakka Noodles', 'Mushroom Noodles', 'Manchow Noodles', 'Singapore Noodles', '2 Idli', 'Vada', 'Idli with Vada', '2 Idli with Vada', 'Rava Idli', 'Curd Vada', 'Rice Bath', 'Mangalore Buns', 'Masala Dosa', 'Plain Dosa', 'Onion Dosa', 'Set Dosa', 'Open Dosa', 'Rava Dosa', 'Rava Masala Dosa', 'Rava Onion Dosa', 'Rava Onion Masala Dosa', 'Butter Plain Dosa', 'Butter Masala Dosa', 'Paper Plain Dosa', 'Paper Masala Dosa', 'Cheese Plain Dosa', 'Cheese Masala Dosa', 'Paneer Plain Dosa', 'Paneer Masala Dosa', 'Masala Puri', 'Pani Puri', 'Bhel Puri', 'Special Bhel Puri', 'Sev Puri', 'Special Sev Puri', 'Sev Dahi Potato', 'Aloo Puri', 'Papadi Chat', 'Dahi Puri', 'Pav Bhaji', 'Kadai Pav Bhaji', 'Paneer Pav Bhaji', 'Cheese Pav Bhaji', 'Batura', 'Chana Batura', 'Tomato Raita', 'Punjabi Raita', 'Aloo Raita', 'Onion Raita', 'Kashmiri Raita', 'Boondi Raita', 'Pineapple Raita', 'Mixed Raita', 'Cucumber Raita', 'Papad', 'Masala Papad', 'Strawberry Ice Cream', 'Pista Ice Cream', 'Kesar Pista Ice Cream', 'Mango Ice Cream', 'Chocolate Ice Cream', 'Dry Fruits Ice Cream', 'Tutti Frutti Ice Cream', 'Fig and Honey Ice Cream', 'Butterscotch Ice Cream', 'Chocolate Nut Sundae Ice Cream', 'Golden Cherry Ice Cream', 'Raja Rani Ice Cream', 'Silver Queen Ice Cream', 'Honeymoon Special Ice Cream', 'My Darling Ice Cream', 'Double Sundae Ice Cream', 'Triple Sundae Ice Cream', 'My Dream Ice Cream', 'Nut Sundae Ice Cream', 'Golden King Ice Cream', 'Tutti Frutti Special Ice Cream', 'Sri Lakshmi Vaibhav Special Ice Cream', 'Special Brown Ice Cream', 'Wedding Special Ice Cream', 'Gudbud Ice Cream', 'Fruit Sundae Ice Cream', 'Fruit Salad', 'Fruit Salad with Ice Cream', 'Falooda', 'Apple Milkshake', 'Chikoo Milkshake', 'Mango Milkshake', 'Butter Fruit Milkshake', 'Muskmelon Milkshake', 'Pomegranate Milkshake', 'Badam Milkshake', 'Choco Milkshake', 'Strawberry Milkshake', 'Coffee Milkshake', 'Pista Milkshake', 'Sri Lakshmi Vaibhav Milkshake', 'Butterscotch Milkshake', 'Dry Fruit Milkshakes', 'Mosambi Juice', 'Orange Juice', 'Pineapple Juice', 'Grape Juice', 'Muskmelon Juice', 'Watermelon Juice', 'Pudina Lime Juice', 'Fresh Lime Juice', 'Kara Lassi', 'Sweet Lassi', 'Salted Lassi', 'Coffee', 'Tea', 'Milk', 'Horlicks', 'Boost', 'Badam Milk']",Delivery,Brookefield
"346, 4th Main Road, B Block, AECS Layout, Brookefield, Bangalore",Madouk Cafe,No,No,4,72,Brookefield,Cafe,Cafe,"Shawarma, Tea, Coffee, Chai",500,,Dine-out,Brookefield
"1, Vinod Reddy Complex, Whitefield Road, Marathahalli Extension, Marathahalli, Bangalore",Suchithra Biryani House,Yes,No,4,388,Marathahalli,Casual Dining,Andhra,"Chicken Guntur, Hyderabadi Biryani, Ghee Roast Biryani, Chicken Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani, Raita",500,,Dine-out,Brookefield
"458, 2nd Main Road, Mico Layout, Stage 1, BTM, Bangalore",Bun Town,Yes,No,4,204,BTM,"Cafe, Bakery",Cafe,"Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Brownie, Donut",500,,Cafes,BTM
"72/33, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore",Savitha Family Restaurant,Yes,No,4,196,Koramangala 4th Block,Quick Bites,North Indian,"Butter Naan, Tandoori Chicken, Chicken Tikka Masala, Malai Kofta, Biryani, Wheat Paratha, Noodles",500,,Delivery,BTM
"17, Janaki Plaza, Koramangala 6th Block, Bangalore",Grow Fit,Yes,No,4,457,Koramangala 6th Block,Delivery,Healthy Food,"Pizza, Brownie, Chicken Biryani",500,,Delivery,BTM
